Anio,Mes,Cantidad
2009,1,30715
2010,1,30671
2011,1,30766
2012,1,33127
2013,1,33130
2014,1,32492
2015,1,33495
2016,1,32299
2017,1,30943
2018,1,32679
2019,1,32017
2020,1,30786
2021,1,26362
2022,1,29883
2009,2,26078
2010,2,26422
2011,2,26716
2012,2,29541
2013,2,29017
2014,2,29074
2015,2,29402
2016,2,30738
2017,2,27610
2018,2,28397
2019,2,28498
2020,2,26889
2021,2,23828
2022,2,26432
2009,3,29319
2010,3,28756
2011,3,30161
2012,3,31716
2013,3,31019
2014,3,32092
2015,3,32419
2016,3,33616
2017,3,31876
2018,3,31924
2019,3,31342
2020,3,27925
2021,3,27474
2022,3,29684
2009,4,27917
2010,4,27682
2011,4,29295
2012,4,30063
2013,4,31252
2014,4,30966
2015,4,30765
2016,4,32807
2017,4,30987
2018,4,31104
2019,4,29729
2020,4,26984
2021,4,27110
2022,4,27544
2009,5,29363
2010,5,28832
2011,5,31009
2012,5,31938
2013,5,32324
2014,5,32460
2015,5,32095
2016,5,34291
2017,5,32381
2018,5,31907
2019,5,31097
2020,5,28069
2021,5,28732
2022,5,28339
2009,6,27988
2010,6,28124
2011,6,29862
2012,6,30951
2013,6,31353
2014,6,30906
2015,6,31221
2016,6,32461
2017,6,31607
2018,6,30153
2019,6,29886
2020,6,27992
2021,6,28302
2022,6,27687
2009,7,29476
2010,7,29511
2011,7,32031
2012,7,32183
2013,7,32919
2014,7,31793
2015,7,32613
2016,7,32313
2017,7,32644
2018,7,31871
2019,7,30782
2020,7,28855
2021,7,30089
2022,7,29095
2009,8,30354
2010,8,31502
2011,8,32573
2012,8,33739
2013,8,33521
2014,8,31793
2015,8,33238
2016,8,32618
2017,8,32887
2018,8,32820
2019,8,31155
2020,8,29159
2021,8,30886
2022,8,30347
2009,9,31590
2010,9,34130
2011,9,34133
2012,9,35320
2013,9,34914
2014,9,34533
2015,9,35320
2016,9,33990
2017,9,33514
2018,9,34723
2019,9,32973
2020,9,30825
2021,9,32497
2022,9,29802
2009,10,30505
2010,10,33355
2011,10,33327
2012,10,34611
2013,10,33540
2014,10,34513
2015,10,34429
2016,10,33026
2017,10,33822
2018,10,34192
2019,10,32117
2020,10,29888
2021,10,30863
2022,10,29190
2009,11,28444
2010,11,30854
2011,11,31767
2012,11,32254
2013,11,31677
2014,11,33040
2015,11,32729
2016,11,31555
2017,11,31469
2018,11,31757
2019,11,28958
2020,11,27764
2021,11,29554
2022,11,28856
2009,12,29879
2010,12,32067
2011,12,32052
2012,12,33170
2013,12,32676
2014,12,32533
2015,12,33699
2016,12,30668
2017,12,31924
2018,12,31736
2019,12,28301
2020,12,26076
2021,12,29452
2022,12,29010
